Name,Manufacturer_Name,Model,PV_and_Battery,Description,Max_Output_Power_kW,Vac_Nominal,Avg_Efficiency,Night_Tare_Loss_W,Vdc_Minimum,Vdc_Nominal,Vdc_Maximum,Efficiency_Vmin_10%,Efficiency_Vmin_20%,Efficiency_Vmin_30%,Efficiency_Vmin_50%,Efficiency_Vmin_75%,Efficiency_Vmin_100%,Efficiency_Vmin_Avg,Efficiency_Vnom_10%,Efficiency_Vnom_20%,Efficiency_Vnom_30%,Efficiency_Vnom_50%,Efficiency_Vnom_75%,Efficiency_Vnom_100%,Efficiency_Vnom_Avg,Efficiency_Vmax_10%,Efficiency_Vmax_20%,Efficiency_Vmax_30%,Efficiency_Vmax_50%,Efficiency_Vmax_75%,Efficiency_Vmax_100%,Efficiency_Vmax_Avg,Grid Support Listing Date
Default,Default,1,Y,Default 5kW Inverter,5,240,95,15,120,360,480,,,,,,,,,,,,,,,,,,,,,,15/04/2024
Default_Unlimited,Default,2,Y,Default Unlimited Inverter,9999999999,240,95,50,0,360,9999999999,,,,,,,,,,,,,,,,,,,,,,15/04/2024
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF4.6K-DH [240V],Y,"4.6 kW, 240 Vac Grid Support Utility Interactive Inverter",4.6,240,96.5,0.55,170,360,480,90.03233333,93.54753333,95.19455,96.10776667,97.08726667,97.65756667,96.22377667,92.05363333,95.44438333,96.61555,97.19305,97.60151667,97.91833333,97.0834915,91.39571667,94.45698333,95.607,96.40388333,97.39653333,97.7534,96.604166,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF5K-DH [240V],Y,"5 kW, 240 Vac Grid Support Utility Interactive Inverter",4.998,240,96.5,0.54,185,360,480,90.47843333,93.2137,95.14003333,96.06938333,96.99255,97.64243333,96.15937,92.4052,95.3595,96.3498,97.33385,97.70118333,97.8953,97.14265967,92.1092,94.45743333,96.02503333,96.93888333,97.28178333,97.73723333,96.733616,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF6K-DH [240V],Y,"6 kW, 240 Vac Grid Support Utility Interactive Inverter",5.995,240,96.5,0.55,220,360,480,89.6111,93.12753333,95.08441667,95.91388333,96.79753333,97.56285,95.97370133,91.56346667,95.24593333,96.3148,97.02603333,97.45031667,97.68465,96.89097867,90.44696667,94.25041667,95.2582,96.07395,97.36006667,97.52381667,96.41393917,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF7K-DH [240V],Y,"7 kW, 240 Vac Grid Support Utility Interactive Inverter",6.996,240,96.5,0.55,170,360,480,90.39291667,93.16995,95.04053333,95.87865,97.06313333,97.80248333,96.1471795,91.79581667,94.73636667,95.9576,97.35078333,97.62,98.02091667,97.00687333,90.94215,94.22443333,95.33106667,97.26536667,97.57696667,97.90831667,96.82557083,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF7.6K-DH [240V],Y,"7.6 kW, 240 Vac Grid Support Utility Interactive Inverter",7.599,240,96.5,0.55,185,360,480,90.58156667,93.924,95.08116667,95.93765,96.85048333,97.34325,96.07402783,92.23851667,94.55705,95.50596667,96.35155,97.29948333,97.7191,96.56661583,91.26075,94.65588333,95.40066667,96.37225,97.14601667,97.55318333,96.43452467,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF8K-DH [240V],Y,"8 kW, 240 Vac Grid Support Utility Interactive Inverter",7.999,240,96.5,0.64,195,360,480,91.82216667,93.64,95.1025,96.11705,97.21166667,97.56275,96.352088,92.42345,95.30103333,96.37201667,97.15625,97.48205,97.96021667,96.9929415,91.39476667,94.49463333,95.40628333,96.70138333,97.51721667,97.75238333,96.70831083,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF8.6K-DH [240V],Y,"8.6 kW, 240 Vac Grid Support Utility Interactive Inverter",8.596,240,97,0.58,210,360,480,92.39628333,94.49093333,95.23935,96.215,97.35748333,97.78141667,96.542807,93.49175,95.42393333,96.53408333,97.34848333,97.64488333,97.95155,97.18750383,93.2217,95.1588,95.55588333,96.71036667,97.55535,97.90383333,96.86221817,01/12/2022
,"Afore New Energy Technology (Shanghai) Co., Ltd.",AF9.6K-DH [240V],Y,"9.6 kW, 240 Vac Grid Support Utility Interactive Inverter",9.592,240,96.5,0.65,235,360,480,90.0006,93.7166,95.2164,96.0942,97.1032,97.8688,96.24974,91.9548,95.489,96.5298,97.3018,97.623,97.9692,97.108246,91.4432,94.7028,95.6808,96.6654,97.5238,97.776,96.750712,01/12/2022
