Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"Alpha ESS Co., Ltd.",SMILE-BAT-8.2PHA,LiFePO4,8.2,9.8,1.20,02/06/2021
Altenergy Power System Inc.,APbattery-48V/5.76kWh,LiFePO4,5.76,5,0.87,02/02/2022
AltGrid Power LLC,VB5148V,LiFePO4,5.12,5.12,1.00,11/09/2023
ARK Battery LLC,16IFR51.2-100-Y,LiFePO4,5.12,5.12,1.00,04/11/2020
ATI-Watt,YT-B5120WL2,LiFePO4,5.12,5.12,1.00,21/07/2023
"BSL New Energy Technology Co., Ltd.",B-LFP48-100E,LiFePO4,5.12,5.12,1.00,25/01/2023
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M00,LiFePO4,240,120,0.50,23/07/2019
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M00,LiFePO4,240,120,0.50,23/07/2019
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M01,LiFePO4,247,120,0.49,23/07/2019
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M01,LiFePO4,247,120,0.49,23/07/2019
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M02,LiFePO4,255,120,0.47,23/07/2019
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M0,LiFePO4,255,120,0.47,23/07/2019
Cadenza Innovation,CI48100,LiFePO4,5.12,5.1,1.00,21/06/2023
"Contemporary Amperex Technology Co., Limited",O852280-E,LiFePO4,372.7,186.3,0.50,17/03/2021
Darfon Electronics Corp.,B07ULF-xxx,LiFePO4,7.2,5.7,0.79,18/12/2019
Darfon Electronics Corp.,B09ULF-xxx,LiFePO4,9.6,5.7,0.59,18/12/2019
Darfon Electronics Corp.,B17,LiFePO4,18.4,10,0.54,23/12/2022
Discover Energy Corp.,44-24-2800,LiFePO4,2.816,2.816,1.00,23/04/2018
Discover Energy Corp.,42-48-6650,LiFePO4,6.656,6.656,1.00,23/04/2018
Discover Energy Systems Corp.,48-48-5120,LiFePO4,5.12,5.12,1.00,02/11/2023
Discover Energy Systems Corp.,48-48-5120-H,LiFePO4,5.12,5.12,1.00,02/11/2023
"Dongguan Lithium Valley Energy Co, Ltd",LV-BAT-R5.12Ab,LiFePO4,5.12,5.12,1.00,30/03/2023
EG4 Electronics LLC,WP-16/280-1AWLL,LiFePO4,14.3,10.24,0.72,26/10/2023
"EndurEnergy Systems, Inc.",ESP-5K HL,Li-ion,5,3,0.60,20/09/2023
"EndurEnergy Systems, Inc.",ESP-5100,Li-ion,5.12,4.5,0.88,13/04/2022
Energizer Solar,PSUS4000H-2,LiFePO4,7.95,5.76,0.72,17/11/2023
Energizer Solar,PSUS4000H-3,LiFePO4,11.92,8.64,0.72,17/11/2023
Energizer Solar,PSUS4000H-4,LiFePO4,15.9,11.52,0.72,17/11/2023
Energizer Solar,PSUS4000H-5,LiFePO4,19.87,14.4,0.72,17/11/2023
Energizer Solar,PSUS4000H-6,LiFePO4,23.85,17.28,0.72,17/11/2023
Energizer Solar,PSUS4000H-7,LiFePO4,27.82,20.16,0.72,17/11/2023
e-ON Batteries Inc.,EB48125F-T110A,LiFePO4,6.4,6.4,1.00,18/09/2019
e-ON Batteries Inc.,EBR-P48192EDA1,LiFePO4,9,5,0.56,06/06/2022
"EVE POWER CO., LTD.",C40,LiFePO4,0.064,0.192,3.00,20/07/2022
"EVE POWER CO., LTD.",LF32,LiFePO4,0.1024,0.1024,1.00,24/05/2021
"EVE POWER CO., LTD.",LF50K,LiFePO4,0.16,0.48,3.00,19/11/2020
"EVE POWER CO., LTD.",LF72K,LiFePO4,0.2304,1.2,5.21,22/08/2022
"EVE POWER CO., LTD.",LF90,LiFePO4,0.288,0.288,1.00,14/11/2022
"EVE POWER CO., LTD.",LF100LA,LiFePO4,0.32,0.48,1.50,14/11/2022
"EVE POWER CO., LTD.",LF100MA,LiFePO4,0.3264,0.4896,1.50,13/12/2022
"EVE POWER CO., LTD.",LF105,LiFePO4,0.336,0.336,1.00,14/11/2022
"EVE POWER CO., LTD.",LF280K,LiFePO4,0.896,0.896,1.00,16/04/2021
"EVE POWER CO., LTD.",BR-1-153.6/280-L,LiFePO4,43,21.5,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-2-307.2/280-L,LiFePO4,86,43,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-3-460.8/280-L,LiFePO4,129,64.5,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-4-614.4/280-L,LiFePO4,172,86,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-5-768/280-L,LiFePO4,215,107.5,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-6-921.6/280-L,LiFePO4,258,129,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-7-1075.2/280-L,LiFePO4,301,150.5,0.50,28/07/2022
"EVE POWER CO., LTD.",BR-8-1228.8/280-L,LiFePO4,344,172,0.50,28/07/2022
FnS Power Technology Inc,FCIFP48100A,LiFePO4,4.8,3.5,0.73,24/03/2021
FnS Power Technology Inc,SSIF2P15S48100C,LiFePO4,4.8,3.5,0.73,24/03/2021
Fortress Power LLC,eFlex 5.4,LiFePO4,5,5.4,1.08,11/08/2020
Fortress Power LLC,eVaultMax,LiFePO4,18.43,9.2,0.50,18/06/2021
Fortress Power LLC,eSpire 280,LiFePO4,279.5,139.76,0.50,24/05/2023
Fortress Power LLC,FP-SL00301U001L,LiFePO4,301.056,150.528,0.50,03/08/2023
Fortress Power LLC,FP-SL00344U001L,LiFePO4,344.064,172.032,0.50,08/08/2023
"FOXESS CO., LTD.",ECS4000-H2,LiFePO4,7.95,5.76,0.72,28/10/2022
"FOXESS CO., LTD.",ECS4000-H3,LiFePO4,11.92,8.64,0.72,28/10/2022
"FOXESS CO., LTD.",ECS4000-H4,LiFePO4,15.9,11.52,0.72,28/10/2022
"FOXESS CO., LTD.",ECS4000-H5,LiFePO4,19.87,14.4,0.72,28/10/2022
Geneverse Energy Inc.,GVB-5K-1R102-USS,LiFePO4,5,5,1.00,12/05/2023
Geneverse Energy Inc.,GVB-10K-1R102-USS,LiFePO4,10,9,0.90,12/05/2023
Geneverse Energy Inc.,GVB-15K-1R102-USS,LiFePO4,15,10,0.67,12/05/2023
Geneverse Energy Inc.,GVB-20K-1R102-USS,LiFePO4,20,10,0.50,12/05/2023
"GoodWe Technologies Co., Ltd.",SECU-S2.5,LiFePO4,2.56,2.88,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",SECU-S5,LiFePO4,5.12,5.76,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",SECU-S7.5,LiFePO4,7.68,8.64,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",LX F9.6-30,LiFePO4,9.6,6.72,0.70,21/10/2022
"GoodWe Technologies Co., Ltd.",SECU-S10,LiFePO4,10.24,11.52,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",LX F12.8-30,LiFePO4,12.8,8.96,0.70,21/10/2022
"GoodWe Technologies Co., Ltd.",SECU-S13,LiFePO4,12.8,14.4,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",SECU-S15,LiFePO4,15.36,17.28,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",LX F16.0-30,LiFePO4,16,11.2,0.70,21/10/2022
"GoodWe Technologies Co., Ltd.",SECU-S18,LiFePO4,17.92,20.16,1.13,02/02/2021
"GoodWe Technologies Co., Ltd.",LX F19.2-30,LiFePO4,19.2,13.44,0.70,21/10/2022
"GoodWe Technologies Co., Ltd.",SECU-S20,LiFePO4,20.48,23.04,1.13,02/02/2021
"Greensun Solar Energy Tech Co., Limited",TH-48200-W,Li-ion,9.6,4.8,0.50,14/07/2023
"Guangzhou Felicity Solar Technology Co., Ltd",EC10000,Li-ion,10.24,5,0.49,08/08/2023
GuangZhou MeriTech Power Co Ltd      ,MERITSUN LFP48V100AH,LiFePO4,5,4.8,0.96,07/07/2022
GuangZhou MeriTech Power Co Ltd      ,MERITSUN LFP51.2V100AH,LiFePO4,5,4.8,0.96,07/07/2022
"Guangzhou Sanjing Electric Co., Ltd.",B2-7.3-HV5,Li-ion,7.3,5.12,0.70,28/07/2023
"Guangzhou Sanjing Electric Co., Ltd.",B2-14.6-HV5,Li-ion,14.6,10.24,0.70,28/07/2023
"Guangzhou Sanjing Electric Co., Ltd.",B2-21.9-HV5,Li-ion,21.9,15.36,0.70,28/07/2023
HANWHA Q CELLS AMERICA INC.,Q.SAVE D10.0SX,LiFePO4,10,5.5,0.55,29/06/2022
HANWHA Q CELLS AMERICA INC.,Q.SAVE D15.0SX,LiFePO4,15,8.3,0.55,29/06/2022
HANWHA Q CELLS AMERICA INC.,Q.SAVE D20.0SX,LiFePO4,20,11.1,0.56,29/06/2022
Holu Hou Energy LLC,HH8200H-EB,Li-ion,8.2,6.4,0.78,07/05/2022
"Humless, LLC",LFP48100-P5KWH,LiFePO4,4.92,5.12,1.04,19/08/2022
"Humless, LLC",W48100B-IP65,LiFePO4,4.92,5.12,1.04,19/08/2022
"Humless, LLC",LFP48100-5KWH,LiFePO4,5.12,5.12,1.00,22/07/2020
Iron Edison Battery Company LLC,IE51100RV4,LiFePO4,5.12,5,0.98,31/10/2022
"Jinko Solar Co., Ltd",JKR-B1950-A-US,LiFePO4,19.2,17.28,0.90,01/09/2023
"KORE Power, Inc.",KORE-M1-ESR15008,Li-ion,52.08,52,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR15009,Li-ion,58.59,58.5,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150010,Li-ion,65.1,65,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150011,Li-ion,71.61,71.5,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150012,Li-ion,78.12,78,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150013,Li-ion,84.63,84.5,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150014,Li-ion,91.14,91,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150015,Li-ion,97.65,97.5,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150016,Li-ion,104.16,104,1.00,11/12/2022
"KORE Power, Inc.",KORE-M1-ESR150017,Li-ion,110.7,110,0.99,11/12/2022
"KORE Power, Inc.",P1-R34SM5P10S-A,Li-ion,335,260,0.78,18/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",R5000-SS,LiFePO4,4.8,4.8,1.00,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",R5000-SSW,LiFePO4,4.8,4.8,1.00,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4001-SS,LiFePO4,4.8,4.8,1.00,30/06/2023
