Name,Module_Name,Manufacturer,Technology,Bifacial,STC_Wp,PTC_Wp,Area_m2,Efficiency,Length_m,Width_m,Num_Cells,I_sc,V_oc,I_mp,V_mp,T_NOCT_C,Temp_Coeff
Default,Default,Default,Mono-crystalline,0,353.8,420.2,2,0.2237,1.65,1.21,60,11.21,48.3,10.7,41.6,48,-0.004
,Applied Materials Full Size Single Junction Version 1.0,Applied Materials,Thin-Film,0,413.882,384.8,5.72,0.0724,2.6,2.2,216,2.9,194.2,2.59,159.8,44.8,-0.3
,T-Solar Global TS410,T-Solar Global,Thin-Film,0,414.22,381.1,5.71,0.0725,2.598,2.198,216,3.28,191,2.78,149,44.8,-0.3
,T-Solar Global TS390,T-Solar Global,Thin-Film,0,405.52,362.3,5.71,0.071,2.598,2.198,216,3.24,190,2.74,148,44.8,-0.3
,T-Solar Global TS370,T-Solar Global,Thin-Film,0,382.11,343.6,5.71,0.0669,2.598,2.198,216,3.24,185,2.71,141,44.8,-0.3
,REC Solar REC740AA Pro XL,REC Solar,Mono-crystalline,1,739.411,706.4,3.33,0.222,,,72,16.75,53.8,15.97,46.3,44.9,-0.247
,REC Solar REC730AA Pro XL,REC Solar,Mono-crystalline,1,731.077,696.6,3.33,0.2195,,,72,16.57,53.7,15.79,46.3,44.9,-0.247
,REC Solar REC720AA Pro XL,REC Solar,Mono-crystalline,1,720.72,686.9,3.33,0.2164,,,72,16.39,53.6,15.6,46.2,44.9,-0.247
,Venus Energy Limited VE-660-66IIMK,Venus Energy Limited,Mono-crystalline,0,659.526,619.5,3.12,0.2114,,,66,18.08,46,17.22,38.3,43.1,-0.359
,Venus Energy Limited VE-655-66IIMK,Venus Energy Limited,Mono-crystalline,0,655.512,614.7,3.12,0.2101,,,66,18.01,45.8,17.16,38.2,43.1,-0.359
,Venus Energy Limited VE-650-66IIMK,Venus Energy Limited,Mono-crystalline,0,649.42,609.9,3.12,0.2081,,,66,17.94,45.6,17.09,38,43.1,-0.359
,Venus Energy Limited VE-645-66IIMK,Venus Energy Limited,Mono-crystalline,0,645.437,605.1,3.12,0.2069,,,66,17.87,45.5,17.03,37.9,43.1,-0.359
,Venus Energy Limited VE-635-66IIMK,Venus Energy Limited,Mono-crystalline,0,635.064,595.5,3.12,0.2035,,,66,17.72,45.1,16.89,37.6,43.1,-0.359
,Venus Energy Limited VE-630-66IIMK,Venus Energy Limited,Mono-crystalline,0,630.75,590.7,3.12,0.2022,,,66,17.65,44.9,16.82,37.5,43.1,-0.359
,Venus Energy Limited VE-640-66IIMK,Venus Energy Limited,Mono-crystalline,0,629.213,600.3,3.12,0.2017,,,66,17.79,45.3,16.69,37.7,43.1,-0.359
,Venus Energy Limited VE-625-66IIMK,Venus Energy Limited,Mono-crystalline,0,624.775,585.9,3.12,0.2002,,,66,17.58,44.8,16.75,37.3,43.1,-0.359
,Venus Energy Limited VE-620-66IIMK,Venus Energy Limited,Mono-crystalline,0,620.496,581.1,3.12,0.1989,,,66,17.51,44.6,16.68,37.2,43.1,-0.359
,Venus Energy Limited VE-615-66IIMK,Venus Energy Limited,Mono-crystalline,0,614.57,576.3,3.12,0.197,,,66,17.44,44.4,16.61,37,43.1,-0.359
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-695,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,695.2,657.7,3.11,0.2235,,,66,18.17,48.2,17.38,40,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-695M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,695.2,657.7,3.11,0.2235,,,66,18.17,48.2,17.38,40,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-695,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,694.908,656.1,3.11,0.2234,,,66,18.27,48,17.46,39.8,45,-0.303
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-690,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,690.78,651.2,3.11,0.2221,,,66,18.19,47.8,17.4,39.7,45,-0.303
,Mate Solar Co. Ltd. MS690M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,690.3,643.7,3.11,0.222,,,66,18.83,46.9,17.7,39,45.6,-0.351
,Sunpal Power Co. Ltd. SP690M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,690.3,643.8,3.11,0.222,,,66,18.83,46.9,17.7,39,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-690,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,689.734,652.9,3.11,0.2218,,,66,18.09,48,17.33,39.8,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-690M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,689.734,652.9,3.11,0.2218,,,66,18.09,48,17.33,39.8,44.6,-0.296
