Manufacturer_Name,Model,PV_and_Battery,Description,Max_Output_Power_kW,Vac_Nominal,Avg_Efficiency_%,Built-In Meter,Night_Tare_Loss_W,Vdc_Minimum,Vdc_Nominal,Vdc_Maximum,Efficiency_Vmin_10%,Efficiency_Vmin_20%,Efficiency_Vmin_30%,Efficiency_Vmin_50%,Efficiency_Vmin_75%,Efficiency_Vmin_100%,Efficiency_Vmin_Avg,Efficiency_Vnom_10%,Efficiency_Vnom_20%,Efficiency_Vnom_30%,Efficiency_Vnom_50%,Efficiency_Vnom_75%,Efficiency_Vnom_100%,Efficiency_Vnom_Avg,Efficiency_Vmax_10%,Efficiency_Vmax_20%,Efficiency_Vmax_30%,Efficiency_Vmax_50%,Efficiency_Vmax_75%,Efficiency_Vmax_100%,Efficiency_Vmax_Avg,Grid Support Listing Date
ABB,PVI-3.0-OUTD-S-US-A [208V],N,"3 kW, 208 Vac Grid Support Utility Interactive Inverter with arc detector",3,208,96,Y,0.1,100,310,480,93.1,95.5,96,95.9,95.7,95.1,95.6,93.3,95.9,96.4,96.4,96.2,95.8,96.1,91,94.9,95.7,96,95.8,95.5,95.6,01/07/2017
ABB,PVI-3.0-OUTD-S-US-A [240V],N,"3 kW, 240 Vac Grid Support Utility Interactive Inverter with arc detector",3,240,96,Y,0.1,100,340,480,92.5,95.2,95.9,96.1,95.9,95.5,95.7,93.1,95.9,96.5,96.7,96.7,96.4,96.5,91.1,95.1,96,96.4,96.4,96.2,96.1,01/07/2017
ABB,PVI-3.0-OUTD-S-US-A [277V],N,"3 kW, 277 Vac Grid Support Utility Interactive Inverter with arc detector",3,277,96,Y,0.2,100,390,480,91.4,94.7,95.5,96.1,95.9,95.6,95.7,92.5,95.8,96.5,96.9,96.9,96.8,96.6,91.1,95.2,96.2,96.7,96.8,96.7,96.4,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-A [208V],N,"3 kW, 208 Vac Grid Support Utility Interactive Inverter with arc detector",3,208,96,Y,0.1,100,310,480,93.1,95.5,96,95.9,95.7,95.1,95.6,93.3,95.9,96.4,96.4,96.2,95.8,96.1,91,94.9,95.7,96,95.8,95.5,95.6,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-A [240V],N,"3 kW, 240 Vac Grid Support Utility Interactive Inverter with arc detector",3,240,96,Y,0.1,100,340,480,92.5,95.2,95.9,96.1,95.9,95.5,95.7,93.1,95.9,96.5,96.7,96.7,96.4,96.5,91.1,95.1,96,96.4,96.4,96.2,96.1,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-A [277V],N,"3 kW, 277 Vac Grid Support Utility Interactive Inverter with arc detector",3,277,96,Y,0.2,100,390,480,91.4,94.7,95.5,96.1,95.9,95.6,95.7,92.5,95.8,96.5,96.9,96.9,96.8,96.6,91.1,95.2,96.2,96.7,96.8,96.7,96.4,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-M-A [208V],N,"3 kW, 208 Vac Grid Support Utility Interactive Inverter with arc-fault detection and meter",3,208,96,Y,0.1,100,310,480,93.1,95.5,96,95.9,95.7,95.1,95.6,93.3,95.9,96.4,96.4,96.2,95.8,96.1,91,94.9,95.7,96,95.8,95.5,95.6,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-M-A [240V],N,"3 kW, 240 Vac Grid Support Utility Interactive Inverter with arc-fault detection and meter",3,240,96,Y,0.1,100,340,480,92.5,95.2,95.9,96.1,95.9,95.5,95.7,93.1,95.9,96.5,96.7,96.7,96.4,96.5,91.1,95.1,96,96.4,96.4,96.2,96.1,01/07/2017
ABB,PVI-3.0-OUTD-S-US-Z-M-A [277V],N,"3 kW, 277 Vac Grid Support Utility Interactive Inverter with arc-fault detection and meter",3,277,96,Y,0.2,100,390,480,91.4,94.7,95.5,96.1,95.9,95.6,95.7,92.5,95.8,96.5,96.9,96.9,96.8,96.6,91.1,95.2,96.2,96.7,96.8,96.7,96.4,01/07/2017
ABB,UNO-DM-3.3-TL-PLUS-US-SB-RA [208V],N,"3.3 kW, 208 Vac Grid Support Interactive Inverter with arc detector, WLAN, and Rapid Shutdown power supply",3,208,96,Y,0.9,200,340,480,92.3,95,95.4,95.8,95.7,95.3,95.5,93.2,95.6,96.1,96.4,96.4,96.2,96.2,91.4,94.7,95.6,96.1,96.1,95.9,95.8,01/07/2017
