Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
01/04/2023,7.13,7.071,10.498,10.27,10.654,10.447,10.565,8.659,7.618,7.613,9.255,10.407,10.315,15.391,15.406,13.8,10.632,8.532,8.46,10.973,11.117,11.686,12.024,13.27,12.593,9.941,7.925,8.751,9.629,11.597,11.218,13.464,12.37,11.074,7.56,6.571,6.953,9.919,10.577,10.522,11.007,11.311,10.999,9.041,8.177,7.522,9.6,10.128
02/04/2023,10.267,10.208,10.022,10.037,10.135,8.696,7.248,7.315,9.31,10.109,10.267,10.313,10.241,14.952,14.371,12.233,9.185,8.103,11.211,10.925,11.355,11.676,12.73,12.368,12.442,9.245,8.424,7.642,9.691,11.232,12.204,12.737,12.288,9.017,6.509,6.231,7.116,10.102,9.994,10.1,10.445,9.204,8.045,8.124,9.514,10.445,10.385,10.282
03/04/2023,10.457,10.373,8.215,7.327,7.539,9.79,10.256,10.234,10.387,10.834,10.978,11.23,13.915,18.404,16.596,19.925,27.413,33.319,35.619,37.524,42.322,43.82,41.163,39.427,41.331,44.878,36.159,36.377,32.201,31.164,28.476,26.806,23.688,13.546,8.225,7.251,7.301,9.435,11.105,10.87,11.011,9.61,8.342,8.165,9.262,10.608,10.491,10.431
04/04/2023,10.565,9.836,7.524,7.318,8.575,10.352,10.383,10.385,10.558,10.894,10.865,8.873,9.987,16.836,19.843,21.761,30.317,33.226,36.267,35.542,38.885,38.928,38.163,38.045,37.584,38.052,32.163,32.381,30.895,30.6,26.957,24.377,23.146,14.083,9.255,7.035,7.248,7.795,10.539,10.517,10.762,10.824,7.862,7.745,7.745,9.727,10.426,10.397
05/04/2023,10.246,9.684,7.431,7.327,8.345,10.248,10.09,10.099,10.299,10.75,8.636,7.839,10.73,17.9,19.663,21.728,31.447,33.795,35.333,40.726,42.228,38.791,34.726,32.141,27.504,25.923,24.749,21.262,21.596,19.651,18.485,18.322,16.699,12.545,9.766,7.071,7.027,7.397,7.567,10.371,10.582,10.908,7.925,7.757,7.718,9.615,10.289,10.243
06/04/2023,10.224,7.988,7.15,7.159,8.679,9.972,10.179,10.001,10.191,10.469,8.578,7.848,8.115,14.782,16.764,17.739,16.656,16.649,16.481,17.014,18.471,19.116,18.231,18.538,17.856,15.893,16.042,15.471,15.792,12.905,13.251,13.719,15.665,10.959,9.886,9.809,9.84,7.375,7.349,7.33,9.934,10.572,10.522,10.354,9.624,7.013,6.972,8.379
07/04/2023,10.152,10.011,10.102,10.035,10.037,10.181,7.796,7.106,8.218,10.913,12.279,12.691,12.627,16.004,17.29,18.171,16.272,16.006,15.72,15.864,15.835,16.455,17.057,17.746,16.507,15.209,16.044,15.648,15.209,15.617,16.411,16.644,13.834,8.486,7.491,9.353,9.783,10.202,10.416,8.561,6.883,7.304,9.295,10.402,10.436,10.059,9.852,8.75
08/04/2023,6.8,6.535,8.868,9.824,9.982,9.903,10.2,10.025,10.337,8.028,7.308,7.793,10.112,13.894,14.227,12.86,10.851,11.014,11.086,10.383,8.472,8.844,9.953,12.634,11.501,10.472,10.954,10.457,11.057,8.974,9.029,9.521,11.76,10.227,9.324,9.161,9.576,7.812,6.934,6.934,9.704,10.594,10.582,10.661,10.49,8.17,7.078,7.239
09/04/2023,9.883,10.191,10.212,10.275,10.406,10.308,7.971,7.349,7.795,10.196,10.315,10.09,10.205,14.213,14.29,12.806,7.671,8.398,9.514,10.829,11.072,11.465,12.569,12.72,11.374,9.547,7.63,8.364,9.958,11.091,12.367,12.089,12.718,10.061,8.115,6.159,7.126,9.19,10.27,10.106,10.462,10.678,10.651,9.905,7.836,7.33,8.911,10.397
10/04/2023,10.349,10.279,10.198,10.371,9.348,7.371,7.229,9.245,10.332,10.666,10.942,11.672,11.849,15.984,16.104,18.922,16.258,17.271,16.721,17.081,16.263,17.335,18.468,17.758,17.981,15.835,17,15.965,16.26,16.361,16.903,17.54,16.747,12.173,10.901,10.174,10.366,10.656,10.642,10.227,9.914,10.313,10.515,10.543,10.743,10.289,10.133,10.299
