Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
,,,,,Certifying Entity,Certificate Date (mm/dd/yyyy),Edition of UL 1973,(kWh),(kW),"(%, Ac-AC)1",,,,(mm/dd/yyyy),(mm/dd/yyyy)
"Alpha ESS Co., Ltd.",,SMILE-BAT-8.2PHA,Lithium Iron Phosphate,"9.8 kW, 8.2kWh lithium iron battery",TUV Rheinland of North America,02/06/2021,Ed. 2 : 2018,8.2,9.8,No Information Submitted,No Information Submitted,N,,21/07/2021,
Altenergy Power System Inc.,,APbattery-48V/5.76kWh,Lithium Iron Phosphate,"5 kW, 5.76 kWh lithium iron phosphate battery",UL,02/02/2022,Ed. 2 : 2018,5.76,5,No Information Submitted,No Information Submitted,N,,11/07/2023,
AltGrid Power LLC,,VB5148V,Lithium Iron Phosphate,"5.12 KW, 5.12KWH Stackable Lithium
Iron Phosphate Battery",UL,11/09/2023,Ed. 3 : 2022,5.12,5.12,No Information Submitted,No Information Submitted,N,,02/01/2024,
ARK Battery LLC,,16IFR51.2-100-Y,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, lithium iron phosphate battery",SGS,04/11/2020,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,21/06/2022,
ATI-Watt,,YT-B5120WL2,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh lithium iron phosphate battery",SGS,21/07/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,23/10/2023,
"BSL New Energy Technology Co., Ltd.",B-LFP48,B-LFP48-100E,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh lithium iron battery",UL,25/01/2023,Ed. 3 : 2022,5.12,5.12,"98 [Multiplus & Multiplus II & MP-II GX 48/3000/35]
98 [Multiplus & Multiplus II & MP-II GX 48/5000/70]
98 [Inverter RS & Multi RS 48/6000]
98 [Quattro 48/5000/70-100/100]
98 [Quattro 48/8000/110-100/100]
98 [Quattro 48/10000/140- 100/100]
98 [Quattro 48/15000/200- 100/100]
98 [EasySolar & EasySolar-II 48/3000/35-50 MPPT]
98 [EasySolar 48/5000/70-100 MPPT]
98 [Next 1 Next 3 Next 3 Track Xtm Vx120]
98 [Any-Grid™]
98 [SUN-5/6/8/10/12K-SG04LP3]
98 [SUN-7.6/8K-SGO1LP1-US/EU]
98 [SUN-3.6/5/6K-SG03LP1-EU]","Multiplus & Multiplus II & MP-II GX 48/3000/35 - Basic, TOU, Advance DR
Multiplus & Multiplus II & MP-II GX 48/5000/70 - Basic, TOU, Advance DR
Inverter RS & Multi RS 48/6000 - Basic, TOU, Advance DR
Quattro 48/5000/70-100/100 - Basic, TOU, Advance DR
Quattro 48/8000/110-100/10 0- Basic, TOU, Advance DR
Quattro 48/10000/140- 100/100 - Basic, TOU, Advance DR
Quattro 48/15000/200- 100/100 - Basic, TOU, Advance DR
EasySolar & EasySolar-II 48/3000/35-50 MPPT - Basic, TOU, Advance DR
EasySolar 48/5000/70-100 MPPT - Basic, TOU, Advance DR
Next 1 Next 3 - Basic, TOU, Advance DR
Any-Grid™ - Basic, TOU, Advance DR   
SUN-5/6/8/10/12K-SG04LP 3- Basic, TOU, Advance DR   
SUN-7.6/8K-SGO1LP1-US/EU - Basic, TOU, Advance DR   
SUN-3.6/5/6K-SG03LP1-EU - Basic, TOU, Advance DR   
",Y,,11/05/2023,03/07/2023
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R1M00,Lithium Iron Phosphate,"120 kW, 240 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,240,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R2M00,Lithium Iron Phosphate,"120 kW, 240 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,240,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R1M01,Lithium Iron Phosphate,"120 kW, 247 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,247,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
